Date,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Year,Day_of_Week,Opponent,Win,Lost,Attendance,GameBehind
2012-11-2,296,3.7,4.3,99,99,99,999,1018,23.3,27.1,999,99,99,2012,Fri,Milwaukee,0,2,18624,2
2012-11-7,299,6.3,7.3,99,99,99,999,1387,22.7,27,999,99,99,2012,Wed,Washington,2,2,18624,0
2012-11-9,79,8.9,10.1,99,99,99,999,1020,19.3,26.2,999,99,99,2012,Fri,Philadelphia,2,3,18624,1
2012-11-14,54,6.4,7.2,99,99,99,999,1018,24.5,26,999,99,99,2012,Wed,Utah,5,3,18624,-2
2012-11-17,63,6.6,7.4,99,99,99,999,1017,23.5,26.1,999,99,99,2012,Sat,Toronto,6,4,18624,-2
2012-11-21,302,7.6,8.5,99,99,99,999,1015,19.8,25.6,999,99,99,2012,Wed,San Antonio,6,6,18624,0
2012-11-23,107,8.8,9.8,99,99,99,999,1019,19,24.9,999,99,99,2012,Fri,Oklahoma City,7,6,18624,-1
2012-11-28,93,3.4,4,99,99,99,999,1021,23.6,25.7,999,99,99,2012,Wed,Brooklyn,8,7,18624,-1
2012-11-30,78,11,12.3,99,99,99,999,1020,23.5,25.3,999,99,99,2012,Fri,Portland,9,7,18624,-2
2012-12-5,103,7.4,8.3,99,99,99,999,1019,23.7,25.4,999,99,99,2012,Wed,Minnesota,10,8,18624,-2
2012-12-8,114,6.1,6.9,99,99,99,999,1015,24.9,25.6,999,99,99,2012,Sat,Philadelphia,11,9,18624,-2
2012-12-12,160,6.3,7,99,99,99,999,1018,25.7,25.8,999,99,99,2012,Wed,Dallas,12,9,18624,-3
2012-12-19,146,4.5,5.1,99,99,99,999,1017,23.9,26,999,99,99,2012,Wed,Cleveland,13,12,18624,-1
2012-12-21,278,7.7,8.7,99,99,99,999,1017,22.8,25.8,999,99,99,2012,Fri,Milwaukee,13,13,18624,0
2013-1-2,142,3.8,4.3,99,99,99,999,1018,23.9,24.5,999,99,99,2013,Tue,Memphis,14,17,18624,3
2013-1-4,97,2.8,3.5,99,99,99,999,1021,24.3,24.4,999,99,99,2013,Thu,Indiana,15,17,18624,2
2013-1-9,120,8.7,9.8,99,99,99,999,1022,25.1,24.8,999,99,99,2013,Tue,Phoenix,18,17,18624,-1
2013-1-11,107,9.5,10.6,99,99,99,999,1023,24.7,25,999,99,99,2013,Thu,Houston,19,17,18624,-2
2013-1-14,116,7.1,7.9,99,99,99,999,1020,24,25,999,99,99,2013,Sun,Charlotte,20,17,18624,-3
2013-1-16,113,6,6.6,99,99,99,999,1018,24.2,24.9,999,99,99,2013,Tue,New Orleans,20,18,18624,-2
2013-1-18,189,7.6,8.7,99,99,99,999,1021,17.3,24.6,999,99,99,2013,Thu,Chicago,20,19,18624,-1
2013-1-24,44,6.9,7.6,99,99,99,999,1024,21.1,24.2,999,99,99,2013,Wed,New York,20,22,18624,2
2013-1-27,73,7.9,8.7,99,99,99,999,1023,23.6,24.6,999,99,99,2013,Sat,Miami,21,23,18624,2
2013-1-30,139,8.3,9.3,99,99,99,999,1019,23.8,25,999,99,99,2013,Tue,Sacramento,22,23,18624,1
2013-2-1,75,9.8,11,99,99,99,999,1022,18.7,24.6,999,99,99,2013,Thu,Orlando,23,23,18624,0
2013-2-3,144,5.3,5.9,99,99,99,999,1020,20.5,24.7,999,99,99,2013,Sat,LA,24,23,18624,-1
2013-2-7,116,5.2,5.8,99,99,99,999,1018,23.2,24.3,999,99,99,2013,Wed,Los Angeles,26,23,18624,-3
2013-2-10,95,8.7,9.7,99,99,99,999,1022,23.1,24.1,999,99,99,2013,Sat,Denver,27,23,18624,-4
2013-2-13,166,6.3,7,99,99,99,999,1016,24.3,24.1,999,99,99,2013,Tue,Chicago,28,24,18624,-4
2013-3-1,174,4.2,5,99,99,99,999,1014,19.1,24.2,999,99,99,2013,Thu,Golden State,31,27,18624,-4
2013-3-8,141,6.6,7.3,99,99,99,999,1021,17.5,22.3,999,99,99,2013,Thu,Atlanta,34,27,18624,-7
2013-3-13,175,6.5,7.3,99,99,99,999,1017,20.4,23.3,999,99,99,2013,Tue,Toronto,35,29,18624,-6
2013-3-16,77,4.3,5.2,99,99,99,999,1022,20.1,23.3,999,99,99,2013,Fri,Charlotte,36,29,18624,-7
2013-3-18,154,7.3,8,99,99,99,999,1017,23.3,23.8,999,99,99,2013,Sun,Miami,36,30,18624,-6
2013-3-26,131,9.2,10.4,99,99,99,999,1017,19,23.9,999,99,99,2013,Mon,New York,36,34,18624,-2
2013-3-29,43,7.4,8.2,99,99,99,999,1024,20,23.5,999,99,99,2013,Thu,Atlanta,38,34,18624,-4
2013-4-3,125,5,5.4,99,99,99,999,1017,24.1,23.6,999,99,99,2013,Tue,Detroit,39,36,18624,-3
2013-4-5,187,5.7,6.2,99,99,99,999,1014,22.7,23.4,999,99,99,2013,Thu,Cleveland,39,37,18624,-2
2013-4-7,87,7.5,8.3,99,99,99,999,1018,23.5,23.3,999,99,99,2013,Sat,Washington,40,37,18624,-3
2013-4-10,108,8.2,9.1,99,99,99,999,1018,24.9,24.5,999,99,99,2013,Tue,Brooklyn,40,38,18624,-2
2013-11-1,144,4.4,5,99,99,99,999,1015,27.1,27.6,999,99,99,2013,Thu,Milwaukee,0,2,"18,624",2
2013-11-6,82,11,12.2,99,99,99,999,1016,26.5,26.5,999,99,99,2013,Tue,Utah,1,4,"17,130",3
2013-11-11,74,9,9.9,99,99,99,999,1018,26.5,27.4,999,99,99,2013,Sun,Orlando,4,4,"18,624",0
2013-11-13,56,9.1,10.2,99,99,99,999,1017,24.7,26.7,999,99,99,2013,Tue,Charlotte,4,5,"17,032",1
2013-11-15,89,10.3,11.5,99,99,99,999,1019,25.1,26.7,999,99,99,2013,Thu,Portland,4,6,"18,624",2
2013-11-22,86,7.9,8.8,99,99,99,999,1019,25.4,27,999,99,99,2013,Thu,Indiana,4,10,"18,624",6
2013-11-27,259,7.5,8.4,99,99,99,999,1013,24.3,26.8,999,99,99,2013,Tue,Memphis,6,11,"17,319",5
2013-11-29,46,10.2,11.4,99,99,99,999,1022,22.7,25.2,999,99,99,2013,Thu,Cleveland,7,11,"17,685",4
2013-12-3,214,3.7,4.4,99,99,99,999,1014,23.1,26.3,999,99,99,2013,Mon,Milwaukee,8,12,"16,649",4
2013-12-6,119,8.5,9.5,99,99,99,999,1020,25.8,26.3,999,99,99,2013,Thu,Denver,9,12,"17,263",3
2013-12-11,102,6.6,7.3,99,99,99,999,1021,25.9,26.2,999,99,99,2013,Tue,LA,10,14,"17,587",4
2013-12-13,62,11,12.2,99,99,99,999,1020,24,25.9,999,99,99,2013,Thu,New York,11,14,"17,479",3
2013-12-16,167,5.9,6.6,99,99,99,999,1018,22.9,25.9,999,99,99,2013,Sun,Minnesota,12,14,"17,071",2
2013-12-18,28,8.1,9.1,99,99,99,999,1021,22.6,25.2,999,99,99,2013,Tue,Detroit,12,15,"17,101",3
2013-12-21,122,9.7,10.8,99,99,99,999,1019,25.7,25.8,999,99,99,2013,Fri,Washington,12,16,"18,169",4
2013-12-28,102,9.1,10.2,99,99,99,999,1020,25.3,25.5,999,99,99,2013,Fri,Cleveland,13,17,"18,264",4
2013-12-31,71,7,7.7,99,99,99,999,1020,23.3,26,999,99,99,2013,Mon,Atlanta,13,18,"18,264",5
2014-1-3,175,8.1,9,99,99,99,999,1016,21.8,25.5,999,99,99,2014,Wed,New Orleans,13,20,"18,264",7
2014-1-13,108,6,6.7,99,99,99,999,1020,24.4,25.2,999,99,99,2014,Sat,Houston,13,26,"17,750",13
2014-1-15,265,5.5,6.1,99,99,99,999,1016,23.1,25,999,99,99,2014,Mon,Toronto,14,26,"17,569",12
2014-1-17,288,5.2,6.1,99,99,99,999,1021,13.6,24.1,999,99,99,2014,Wed,Los Angeles,14,27,"18,624",13
2014-1-24,29,8.6,9.7,99,99,99,999,1024,18.6,23.4,999,99,99,2014,Wed,Oklahoma City,15,30,"18,624",15
2014-1-26,142,2.6,3.1,99,99,99,999,1018,21.2,23.6,999,99,99,2014,Fri,Brooklyn,15,31,"18,624",16
2014-1-29,176,2.7,3.1,99,99,99,999,1017,24.2,23.7,999,99,99,2014,Mon,Philadelphia,15,33,"18,624",18
2014-2-2,122,6,6.7,99,99,99,999,1019,24.7,24.3,999,99,99,2014,Fri,Orlando,16,33,"18,624",17
2014-2-7,122,3.7,4.1,99,99,99,999,1019,24.8,25.1,999,99,99,2014,Wed,Sacramento,18,33,"18,624",15
2014-2-9,211,2.5,2.9,99,99,99,999,1017,23.1,25.6,999,99,99,2014,Fri,Dallas,18,34,"17,650",16
2014-2-12,136,4.7,5.4,99,99,99,999,1015,24.4,25.7,999,99,99,2014,Mon,San Antonio,19,35,"17,922",16
2014-2-26,244,4.1,4.8,99,99,99,999,1013,23.6,25.7,999,99,99,2014,Mon,Atlanta,20,39,"16,605",19
2014-3-1,112,5.8,6.5,99,99,99,999,1019,21,24.6,999,99,99,2014,Thu,Indiana,20,40,"18,624",20
2014-3-5,129,4.5,5,99,99,99,999,1016,24.3,25.2,999,99,99,2014,Mon,Golden State,20,41,"18,155",21
2014-3-7,270,10.8,12.1,99,99,99,999,1012,23.4,24.5,999,99,99,2014,Wed,Brooklyn,21,41,"18,195",20
2014-3-9,66,3.3,3.8,99,99,99,999,1020,20.9,24.4,999,99,99,2014,Fri,Detroit,22,41,"18,624",19
2014-3-12,211,7.2,7.9,99,99,99,999,1012,24.5,24.5,999,99,99,2014,Mon,New York,22,43,"18,624",21
2014-3-14,68,9.1,10.3,99,99,99,999,1021,20.8,23.8,999,99,99,2014,Wed,Phoenix,22,44,"18,624",22
2014-3-19,155,3.5,3.8,99,99,99,999,1017,23.1,24.1,999,99,99,2014,Mon,Miami,23,46,"18,624",23
2014-3-26,173,11.7,13.2,99,99,99,999,1019,18.8,23.5,999,99,99,2014,Mon,Toronto,23,48,"18,341",25
2014-3-30,234,4.8,5.3,99,99,99,999,1016,23.4,23.9,999,99,99,2014,Fri,Chicago,23,50,"18,624",27
2014-4-4,131,6.3,6.9,99,99,99,999,1017,24.3,25.3,999,99,99,2014,Wed,Philadelphia,23,53,"18,624",30
2014-4-11,93,5.3,5.9,99,99,99,999,1022,23.6,24.6,999,99,99,2014,Wed,Charlotte,24,55,"18,624",31
2014-4-16,136,5.1,5.6,99,99,99,999,1015,24.9,25.4,999,99,99,2014,Mon,Washington,25,57,"18,624",32
2014-10-29,99,5.6,6.3,99,99,99,999,1018,26.5,27.2,999,99,99,2014,Mon,Brooklyn,1,0,18624,-1
2014-11-5,76,10.4,11.6,99,99,99,999,1019,24.9,25.7,999,99,99,2014,Mon,Toronto,1,3,16249,2
2014-11-7,248,3,3.4,99,99,99,999,1015,23.6,26.2,999,99,99,2014,Wed,Indiana,2,3,17122,1
2014-11-12,222,5.7,6.3,99,99,99,999,1015,22.2,26,999,99,99,2014,Mon,Oklahoma City,3,4,17043,1
2014-11-14,77,3.4,3.8,99,99,99,999,1016,24.4,25.8,999,99,99,2014,Wed,Cleveland,3,5,18624,2
2014-11-17,165,6.5,7.1,99,99,99,999,1016,26.3,26.2,999,99,99,2014,Sat,Phoenix,3,6,16726,3
2014-11-23,130,10,11.1,99,99,99,999,1016,26,25.6,999,99,99,2014,Fri,Portland,4,8,16692,4
2014-11-28,238,9.1,10.2,99,99,99,999,1021,17.9,24.6,999,99,99,2014,Wed,Chicago,4,9,18203,5
2014-11-30,73,11,12.2,99,99,99,999,1022,23.2,24.4,999,99,99,2014,Fri,San Antonio,4,10,17121,6
2014-12-3,74,8.8,9.6,99,99,99,999,1018,24.6,24.3,999,99,99,2014,Mon,Detroit,5,11,15870,6
2014-12-5,81,8.1,9.1,99,99,99,999,1020,24.9,24.5,999,99,99,2014,Wed,Los Angeles,6,11,18624,5
2014-12-7,205,4.6,5.1,99,99,99,999,1018,23.1,24.6,999,99,99,2014,Fri,Washington,7,11,16716,4
2014-12-12,192,3.3,3.9,99,99,99,999,1022,17.9,24.4,999,99,99,2014,Wed,New York,7,14,17989,7
2014-12-17,192,4,4.4,99,99,99,999,1021,21.1,25.2,999,99,99,2014,Mon,Orlando,9,14,16764,5
2014-12-19,117,4.4,4.9,99,99,99,999,1018,21.7,24.7,999,99,99,2014,Wed,Minnesota,10,14,17042,4
2014-12-26,90,6,6.7,99,99,99,999,1020,23.7,25.1,999,99,99,2014,Wed,Brooklyn,10,17,18624,7
2014-12-31,92,3.6,4.1,99,99,99,999,1021,24.7,25.5,999,99,99,2014,Mon,Sacramento,11,18,18624,7
2015-1-2,116,6.7,7.3,99,99,99,999,1022,25.2,25.6,999,99,99,2015,Tue,Dallas,11,19,18624,8
2015-1-5,102,5.3,5.8,99,99,99,999,1025,25.4,25.7,999,99,99,2015,Fri,Charlotte,11,21,16720,10
2015-1-12,111,9.7,10.7,99,99,99,999,1021,24.9,25.2,999,99,99,2015,Fri,New Orleans,13,23,16906,10
2015-1-14,174,3.5,3.9,99,99,99,999,1017,22.6,25,999,99,99,2015,Sun,Atlanta,13,24,16067,11
2015-1-16,217,5.4,6,99,99,99,999,1017,20.1,24.8,999,99,99,2015,Tue,Chicago,13,25,18624,12
2015-1-30,193,5.4,6.2,99,99,99,999,1022,19.9,24.2,999,99,99,2015,Tue,Houston,16,29,17675,13
2015-2-1,106,9,10.1,99,99,99,999,1022,21.2,23.7,999,99,99,2015,Thu,Miami,16,30,17366,14
2015-2-4,92,7.9,8.9,99,99,99,999,1020,22.5,24.7,999,99,99,2015,Sun,Denver,18,30,15126,12
2015-2-6,125,9.3,10.3,99,99,99,999,1018,19.2,23.5,999,99,99,2015,Tue,Philadelphia,19,30,18322,11
2015-2-11,254,7.5,8.3,99,99,99,999,1013,16.3,22.8,999,99,99,2015,Sun,Atlanta,20,31,16083,11
2015-2-25,244,2.5,2.8,99,99,99,999,1015,22.7,23.5,999,99,99,2015,Sun,New York,22,33,16899,11
2015-2-27,152,4,4.4,99,99,99,999,1017,23.3,23.1,999,99,99,2015,Tue,Charlotte,23,33,18624,10
2015-3-1,80,7.9,8.7,99,99,99,999,1024,24.3,24.7,999,99,99,2015,Thu,Golden State,23,34,18624,11
2015-3-4,113,7.6,8.3,99,99,99,999,1020,24.2,24.2,999,99,99,2015,Sun,Utah,24,35,16354,11
2015-3-11,115,6.7,7.4,99,99,99,999,1020,25,24.9,999,99,99,2015,Sun,Memphis,27,36,17135,9
2015-3-13,104,8.3,9.2,99,99,99,999,1020,24.7,24.9,999,99,99,2015,Tue,Orlando,28,36,18624,8
2015-3-16,173,2.7,3,99,99,99,999,1020,24.2,24.9,999,99,99,2015,Fri,Philadelphia,30,36,18624,6
2015-3-22,203,2.5,2.8,99,99,99,999,1017,24.7,25.9,999,99,99,2015,Thu,Detroit,30,39,18624,9
2015-3-25,175,1.8,2.1,99,99,99,999,1018,24.5,25.7,999,99,99,2015,Sun,Miami,31,40,17366,9
2015-3-29,77,7.9,9,99,99,99,999,1023,19.7,24.5,999,99,99,2015,Thu,LA,32,41,18624,9
2015-4-1,125,3.9,4.4,99,99,99,999,1020,23,24.6,999,99,99,2015,Sun,Indiana,34,41,18624,7
2015-4-3,105,7.4,8.2,99,99,99,999,1020,24.2,25.2,999,99,99,2015,Tue,Milwaukee,34,42,18624,8
2015-4-12,121,6,6.5,99,99,99,999,1018,25.8,25.9,999,99,99,2015,Thu,Cleveland,38,42,18624,4
2015-4-14,117,5.9,6.5,99,99,99,999,1020,25.8,25.9,999,99,99,2015,Sat,Toronto,39,42,18624,3
2015-10-28,173,6.7,7.4,99,99,99,999,1014,26.7,27.6,999,99,99,2015,Sun,Philadelphia,1,0,18624,-1
2015-10-30,165,2.1,2.4,99,99,99,999,1015,26.8,27.8,999,99,99,2015,Tue,Toronto,1,1,16898,0
2015-11-1,103,5.8,6.3,99,99,99,999,1016,27.4,28.1,999,99,99,2015,Thu,San Antonio,1,2,17461,1
2015-11-4,86,6.7,7.3,99,99,99,999,1017,27.7,28.1,999,99,99,2015,Sun,Indiana,3,4,17879,1
2015-11-6,84,7.1,7.8,99,99,99,999,1018,27.2,27.9,999,99,99,2015,Fri,Washington,2,3,18624,1
2015-11-13,96,3.1,3.6,99,99,99,999,1015,27.5,28,999,99,99,2015,Tue,Atlanta,4,4,17138,0
2015-11-18,110,10.3,15.1,99,99,99,999,1389,30.1,30.2,999,99,99,2015,Sun,Dallas,6,5,17262,-1
2015-11-20,119,4,8.7,99,99,99,999,1424,29.8,30.5,999,99,99,2015,Tue,Brooklyn,7,5,18361,-2
2015-11-25,76,12.5,14.3,99,99,99,999,1020,24.6,26.4,999,99,99,2015,Sun,Philadelphia,8,7,17588,-1
2015-11-27,67,12.1,13.6,99,99,99,999,1020,25.3,26.2,999,99,99,2015,Tue,Washington,9,7,18624,-2
2015-12-9,87,4.7,5.2,99,99,99,999,1014,24.4,25.6,999,99,99,2015,Sun,Chicago,13,9,17318,-4
2015-12-11,188,7.7,19.9,99,99,99,999,2139,30.7,35.2,999,99,99,2015,Tue,Golden State,13,10,18624,-3
2015-12-15,157,3.7,24.5,99,99,99,999,2938,31.3,42,999,99,99,2015,Sat,Cleveland,14,11,18624,-3
2015-12-18,194,10.2,32.6,99,99,99,999,3129,34.8,43.4,999,99,99,2015,Tue,Atlanta,14,13,18624,-1
2015-12-21,150,16.5,52.1,99,99,99,999,3415,40,40.3,999,99,99,2015,Fri,Minnesota,15,13,18624,-2
2015-12-27,113,9.7,14.4,99,99,99,999,1018,26,29.5,999,99,99,2015,Thu,New York,18,13,18624,-5
2015-12-30,153,12.1,17,99,99,99,999,1021,26.4,32.9,999,99,99,2015,Sun,Los Angeles,18,14,18624,-4
2016-1-2,133,1.8,2.2,99,99,99,999,1018,25.4,26.7,999,99,99,2016,Tue,Brooklyn,18,15,18624,-3
2016-1-6,59,16.8,18.4,99,99,99,999,1391,62.5,65.6,999,99,99,2016,Sat,Detroit,19,16,18624,-3
2016-1-13,24,7.7,8.5,99,99,99,999,1020,19,24.9,999,99,99,2016,Sat,Indiana,20,19,18624,-1
2016-1-15,173,11.9,20.8,99,99,99,999,1403,66.1,67.8,999,99,99,2016,Mon,Phoenix,21,19,18624,-2
2016-1-22,169,11.2,16.2,99,99,99,999,1388,22.9,65,999,99,99,2016,Mon,Chicago,23,21,18624,-2
2016-1-27,160,11.1,12.4,99,99,99,999,1016,24.7,24.1,999,99,99,2016,Sat,Denver,26,21,18108,-5
2016-1-29,301,8.8,9.9,99,99,99,999,1015,19.6,23.9,999,99,99,2016,Mon,Orlando,27,21,17729,-6
2016-2-3,127,9.7,10.7,99,99,99,999,1018,24.7,24.9,999,99,99,2016,Sat,Detroit,29,22,17297,-7
2016-2-7,306,10.3,11.6,99,99,99,999,1016,16.6,24.2,999,99,99,2016,Wed,Sacramento,31,22,18624,-9
2016-2-10,252,4.8,5.5,99,99,99,999,1021,16.8,23.3,999,99,99,2016,Sat,LA,32,23,18186,-9
2016-2-25,285,8.5,9.6,99,99,99,999,1018,20.7,24.2,999,99,99,2016,Sun,Milwaukee,34,25,18157,-9
2016-2-27,305,6.9,7.9,99,99,99,999,1023,15.8,23,999,99,99,2016,Tue,Miami,35,25,18624,-10
2016-2-29,107,5.6,6.3,99,99,99,999,1021,21.9,23.8,999,99,99,2016,Mon,Utah,36,25,17680,-11
2016-3-2,93,2.3,2.6,99,99,99,999,1019,22.8,23.9,999,99,99,2016,Fri,Portland,37,25,18624,-12
2016-3-4,248,5,9.3,99,99,99,999,1016,24,23.7,999,99,99,2016,Sun,New York,38,25,18624,-13
2016-3-9,127,10.3,11.5,99,99,99,999,1022,23.3,23.3,999,99,99,2016,Fri,Memphis,39,26,17790,-13
2016-3-11,130,9,10,99,99,99,999,1022,23.7,23.3,999,99,99,2016,Sun,Houston,39,27,18624,-12
2016-3-16,147,3.5,4,99,99,99,999,1018,24.2,25.6,999,99,99,2016,Fri,Oklahoma City,39,29,18624,-10
2016-3-21,298,9.2,15.3,99,99,99,999,1517,73.8,79.2,999,99,99,2016,Wed,Orlando,41,30,18624,-11
2016-3-23,102,12.4,26.1,99,99,99,999,2732,115.7,163.9,999,99,99,2016,Fri,Toronto,42,30,18624,-12
2016-4-6,79,7.3,12.6,99,99,99,999,1836,24.2,69.8,999,99,99,2016,Fri,New Orleans,46,32,18624,-14
2016-4-8,223,4.9,10.2,99,99,99,999,1016,23.9,74.1,999,99,99,2016,Sun,Milwaukee,47,32,18624,-15
2016-4-11,89,8.3,9.2,99,99,99,999,1021,64.5,25.1,999,99,99,2016,Wed,Charlotte,47,34,18624,-13
2016-4-13,101,3.9,4.5,99,99,99,999,1018,70.9,71.7,999,99,99,2016,Fri,Miami,48,34,18624,-14
2016-10-26,74,11.4,12.7,99,99,99,999,1019,26.2,27.7,999,99,99,2016,Fri,Brooklyn,1,0,18624,-1
2016-11-2,78,10.3,11.4,99,99,99,999,1018,26.4,27,999,99,99,2016,Fri,Chicago,3,1,18624,-2
2016-11-6,64,9.9,11,99,99,99,999,1018,25.5,26.1,999,99,99,2016,Tue,Denver,3,3,17452,0
2016-11-11,58,4.1,12.9,99,99,99,999,1018,24.5,111.8,999,99,99,2016,Sun,New York,4,4,18624,0
