Date,daily.record.time,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Year,Day_of_Week,Win,Lost,DN,Attendance,GameBehind
2012-4-13,24,252,3.2,3.8,99,99,99,999,1018,24.7,25.8,999,99,99,2012,Friday,2,5,D,37032,3
2012-4-14,24,112,8,9,99,99,99,999,1020,24.3,25.9,999,99,99,2012,Saturday,3,5,D,38024,2
2012-4-15,24,112,10,11.1,99,99,99,999,1022,23.8,25.7,999,99,99,2012,Sunday,4,5,D,38024,1
2012-4-16,24,111,10,11,99,99,99,999,1021,24.3,25.5,999,99,99,2012,Monday,4,6,D,38108,2
2012-4-17,24,105,9.2,10.3,99,99,99,999,1020,24.2,25.4,999,99,99,2012,Tuesday,4,7,N,38229,3
2012-4-18,24,125,7.2,8.1,99,99,99,999,1018,24.3,25.5,999,99,99,2012,Wednesday,4,8,N,37967,4
2012-4-20,24,169,4.8,5.2,99,99,99,999,1013,25.2,25.8,999,99,99,2012,Friday,4,9,D,36770,5
2012-4-21,24,111,7.5,8.4,99,99,99,999,1011,23,25.6,999,99,99,2012,Saturday,4,10,D,37839,6
2012-4-30,24,94,12.2,13.6,99,99,99,999,1015,23.7,24.7,999,99,99,2012,Monday,11,11,N,37359,0
2012-5-1,24,111,11.1,12.5,99,99,99,999,1016,24.7,24.7,999,99,99,2012,Tuesday,11,12,N,37225,1
2012-5-2,24,109,9.9,10.9,99,99,99,999,1017,25.1,25.2,999,99,99,2012,Wednesday,11,13,N,37434,2
2012-5-4,24,104,6.9,7.7,99,99,99,999,1018,24.9,25.5,999,99,99,2012,Friday,11,14,N,37223,3
2012-5-5,24,117,4.9,5.5,99,99,99,999,1016,24.9,25.6,999,99,99,2012,Saturday,11,15,D,37581,4
2012-5-6,24,144,3.6,4.2,99,99,99,999,1015,25.4,25.8,999,99,99,2012,Sunday,11,16,D,37394,5
2012-5-10,24,252,5.9,6.5,99,99,99,999,1011,26.3,26.1,999,99,99,2012,Thursday,12,19,N,37348,7
2012-5-11,24,241,3.8,4.2,99,99,99,999,1014,26.2,26,999,99,99,2012,Friday,13,19,N,37438,6
2012-5-12,24,70,5.9,6.6,99,99,99,999,1019,26.4,26.4,999,99,99,2012,Saturday,14,19,N,38048,5
2012-5-13,24,96,7.9,8.8,99,99,99,999,1019,26.1,26.6,999,99,99,2012,Sunday,15,19,D,37611,4
2012-5-14,24,107,4.4,5,99,99,99,999,1016,26.1,26.8,999,99,99,2012,Monday,16,19,N,37334,3
2012-5-15,24,168,3.8,4.4,99,99,99,999,1016,26.5,26.8,999,99,99,2012,Tuesday,17,19,D,37292,2
2012-5-25,24,42,2.9,3.3,99,99,99,999,1014,26.2,27,999,99,99,2012,Friday,22,23,N,37594,1
