Date,PRCP,Snow,Tmax,Tmin,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Year,Day_of_Week,Opponent,Win,Lost,Attendance,GameBehind
1/17/2014,0,0,46,33,288,5.2,6.1,99,99,99,999,1021,13.6,24.1,999,99,99,2014,Wed,Los Angeles,14,27,18624,13
2/27/2016,0,0,39,21,305,6.9,7.9,99,99,99,999,1023,15.8,23,999,99,99,2016,Tue,Miami,35,25,18624,-10
2/11/2015,0.01,0.5,25,14,254,7.5,8.3,99,99,99,999,1013,16.3,22.8,999,99,99,2015,Sun,Atlanta,20,31,16083,11
2/7/2016,0,0,44,29,306,10.3,11.6,99,99,99,999,1016,16.6,24.2,999,99,99,2016,Wed,Sacramento,31,22,18624,-9
2/10/2016,0,0.1,36,20,252,4.8,5.5,99,99,99,999,1021,16.8,23.3,999,99,99,2016,Sat,LA,32,23,18186,-9
1/18/2013,0,0,30,19,189,7.6,8.7,99,99,99,999,1021,17.3,24.6,999,99,99,2013,Thu,Chicago,20,19,18624,-1
3/8/2013,0.94,10.5,42,28,141,6.6,7.3,99,99,99,999,1021,17.5,22.3,999,99,99,2013,Thu,Atlanta,34,27,18624,-7
12/13/2017,0,0,36,22,222,10.8,11.6,99,99,99,999,1017,17.7,65.5,999,99,99,2017,Thu,DenverDenver,24,6,18624,-18
11/28/2014,0.11,2.3,35,27,238,9.1,10.2,99,99,99,999,1021,17.9,24.6,999,99,99,2014,Wed,Chicago,4,9,18203,5
12/12/2014,0,0,39,31,192,3.3,3.9,99,99,99,999,1022,17.9,24.4,999,99,99,2014,Wed,New York,7,14,17989,7
1/24/2014,0,0,19,7,29,8.6,9.7,99,99,99,999,1024,18.6,23.4,999,99,99,2014,Wed,Oklahoma City,15,30,18624,15
2/1/2013,0,0,34,23,75,9.8,11,99,99,99,999,1022,18.7,24.6,999,99,99,2013,Thu,Orlando,23,23,18624,0
10/30/2017,0.94,0,65,51,135,8.4,9.7,99,99,99,999,1016,18.7,27.3,999,99,99,2017,Tue,San AntonioSan Antonio,5,2,18624,-3
12/31/2017,0,0,13,4,119,4.5,5.4,99,99,99,999,1021,18.7,25.1,999,99,99,2017,Mon,BrooklynBrooklyn,30,10,18624,-20
3/26/2014,0,0,35,24,173,11.7,13.2,99,99,99,999,1019,18.8,23.5,999,99,99,2014,Mon,Toronto,23,48,18341,25
11/23/2012,0,0,49,36,107,8.8,9.8,99,99,99,999,1019,19,24.9,999,99,99,2012,Fri,Oklahoma City,7,6,18624,-1
3/26/2013,0.05,0,50,34,131,9.2,10.4,99,99,99,999,1017,19,23.9,999,99,99,2013,Mon,New York,36,34,18624,-2
1/13/2016,0,0,33,21,24,7.7,8.5,99,99,99,999,1020,19,24.9,999,99,99,2016,Sat,Indiana,20,19,18624,-1
3/1/2013,0,0,41,34,174,4.2,5,99,99,99,999,1014,19.1,24.2,999,99,99,2013,Thu,Golden State,31,27,18624,-4
2/6/2015,0,0,21,5,125,9.3,10.3,99,99,99,999,1018,19.2,23.5,999,99,99,2015,Tue,Philadelphia,19,30,18322,11
11/9/2012,0,0,53,38,79,8.9,10.1,99,99,99,999,1020,19.3,26.2,999,99,99,2012,Fri,Philadelphia,2,3,18624,1
1/29/2016,0,0,41,33,301,8.8,9.9,99,99,99,999,1015,19.6,23.9,999,99,99,2016,Mon,Orlando,27,21,17729,-6
3/29/2015,0,0,42,26,77,7.9,9,99,99,99,999,1023,19.7,24.5,999,99,99,2015,Thu,LA,32,41,18624,9
11/21/2012,0,0,49,38,302,7.6,8.5,99,99,99,999,1015,19.8,25.6,999,99,99,2012,Wed,San Antonio,6,6,18624,0
1/30/2015,0.06,0.7,34,19,193,5.4,6.2,99,99,99,999,1022,19.9,24.2,999,99,99,2015,Tue,Houston,16,29,17675,13
12/15/2017,0,0,27,17,246,2.9,3.4,99,99,99,999,1019,19.9,25.2,999,99,99,2017,Sat,UTAHUTAH,24,7,18624,-17
3/29/2013,0.01,0,56,40,43,7.4,8.2,99,99,99,999,1024,20,23.5,999,99,99,2013,Thu,Atlanta,38,34,18624,-4
3/16/2013,0,0,40,30,77,4.3,5.2,99,99,99,999,1022,20.1,23.3,999,99,99,2013,Fri,Charlotte,36,29,18624,-7
1/16/2015,0,0,38,15,217,5.4,6,99,99,99,999,1017,20.1,24.8,999,99,99,2015,Tue,Chicago,13,25,18624,12
12/30/2016,0,0,41,30,107,9.5,10.6,99,99,99,999,1020,20.1,25.2,999,99,99,2016,Sun,Miami,20,14,18624,-6
3/13/2013,0,0,51,39,175,6.5,7.3,99,99,99,999,1017,20.4,23.3,999,99,99,2013,Tue,Toronto,35,29,18624,-6
2/3/2013,0.03,0.6,27,23,144,5.3,5.9,99,99,99,999,1020,20.5,24.7,999,99,99,2013,Sat,LA,24,23,18624,-1
2/25/2016,0.81,0,62,41,285,8.5,9.6,99,99,99,999,1018,20.7,24.2,999,99,99,2016,Sun,Milwaukee,34,25,18157,-9
3/14/2014,0,0,39,16,68,9.1,10.3,99,99,99,999,1021,20.8,23.8,999,99,99,2014,Wed,Phoenix,22,44,18624,22
3/9/2014,0,0,43,30,66,3.3,3.8,99,99,99,999,1020,20.9,24.4,999,99,99,2014,Fri,Detroit,22,41,18624,19
3/1/2014,0,0,36,16,112,5.8,6.5,99,99,99,999,1019,21,24.6,999,99,99,2014,Thu,Indiana,20,40,18624,20
1/24/2013,0,0,21,4,44,6.9,7.6,99,99,99,999,1024,21.1,24.2,999,99,99,2013,Wed,New York,20,22,18624,2
