Date,PRCP,Snow,Tmax,Tmin,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Year,Day_of_Week,Win,Lost,DN,Attendance,GameBehind
2012-4-13,0,0,65,41,252,3.2,3.8,99,99,99,999,1018,24.7,25.8,999,99,99,2012,Friday,2,5,D,37032,3
2012-4-14,0,0,71,49,112,8,9,99,99,99,999,1020,24.3,25.9,999,99,99,2012,Saturday,3,5,D,38024,2
2012-4-15,0,0,77,54,112,10,11.1,99,99,99,999,1022,23.8,25.7,999,99,99,2012,Sunday,4,5,D,38024,1
2012-4-16,0,0,87,59,111,10,11,99,99,99,999,1021,24.3,25.5,999,99,99,2012,Monday,4,6,D,38108,2
2012-4-17,0,0,84,57,105,9.2,10.3,99,99,99,999,1020,24.2,25.4,999,99,99,2012,Tuesday,4,7,N,38229,3
2012-4-18,0,0,62,49,125,7.2,8.1,99,99,99,999,1018,24.3,25.5,999,99,99,2012,Wednesday,4,8,N,37967,4
2012-4-20,0,0,77,49,169,4.8,5.2,99,99,99,999,1013,25.2,25.8,999,99,99,2012,Friday,4,9,D,36770,5
2012-4-21,0.01,0,78,54,111,7.5,8.4,99,99,99,999,1011,23,25.6,999,99,99,2012,Saturday,4,10,D,37839,6
2012-4-30,0,0,54,41,94,12.2,13.6,99,99,99,999,1015,23.7,24.7,999,99,99,2012,Monday,11,11,N,37359,0
2012-5-1,0.6,0,50,45,111,11.1,12.5,99,99,99,999,1016,24.7,24.7,999,99,99,2012,Tuesday,11,12,N,37225,1
2012-5-2,0,0,52,45,109,9.9,10.9,99,99,99,999,1017,25.1,25.2,999,99,99,2012,Wednesday,11,13,N,37434,2
2012-5-4,0.01,0,56,49,104,6.9,7.7,99,99,99,999,1018,24.9,25.5,999,99,99,2012,Friday,11,14,N,37223,3
