,YYYY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
1,2012,1,1,0,0,83,5,5.8,99,99,99,999,1022.2,23.9,24.2,999,99,99
2,2012,1,1,1,0,98,5.9,6.3,99,99,99,999,1022.5,23.8,24.1,999,99,99
3,2012,1,1,2,0,75,4.8,5.5,99,99,99,999,1023,23.9,24.1,999,99,99
4,2012,1,1,3,0,84,4.5,5.3,99,99,99,999,1023.2,23.8,24.1,999,99,99
5,2012,1,1,4,0,84,5.4,6,99,99,99,999,1023.4,23.7,24.1,999,99,99
6,2012,1,1,5,0,85,6,6.7,99,99,99,999,1022.8,23.7,23.9,999,99,99
7,2012,1,1,6,0,92,5.3,5.8,99,99,99,999,1022.5,23.4,23.9,999,99,99
8,2012,1,1,7,0,85,5.8,6.3,99,99,99,999,1022,23.4,23.9,999,99,99
9,2012,1,1,8,0,72,5,5.9,99,99,99,999,1021.7,23.4,23.9,999,99,99
10,2012,1,1,9,0,71,4.5,5.6,99,99,99,999,1021.7,23.2,23.9,999,99,99
11,2012,1,1,10,0,64,3.9,4.5,99,99,99,999,1021.8,23.2,23.9,999,99,99
12,2012,1,1,11,0,50,4.9,5.8,99,99,99,999,1022.2,23.2,23.8,999,99,99
13,2012,1,1,12,0,65,5.4,6.1,99,99,99,999,1023,23.2,23.7,999,99,99
14,2012,1,1,13,0,71,5.7,6.5,99,99,99,999,1023.5,23.5,23.6,999,99,99
15,2012,1,1,14,0,67,5.5,6,99,99,99,999,1024.2,23.5,24,999,99,99
16,2012,1,1,15,0,68,5.1,5.6,99,99,99,999,1024.8,23.6,24.2,999,99,99
17,2012,1,1,16,0,81,4.8,5.2,99,99,99,999,1024.7,23.7,24.3,999,99,99
18,2012,1,1,17,0,84,4.8,5.3,99,99,99,999,1024.1,23.6,24.4,999,99,99
19,2012,1,1,18,0,79,4.6,5.5,99,99,99,999,1023,23.6,24.4,999,99,99
20,2012,1,1,19,0,72,4.5,4.8,99,99,99,999,1022.4,23.6,24.5,999,99,99
21,2012,1,1,20,0,83,4.7,5.6,99,99,99,999,1021.9,23.7,24.5,999,99,99
